# Anchor classification — one line per module, generated 2026-08-01, kept in
# sync since.
#
# ANCHOR-TASKS.tsv is the single ownership place for current anchor state: it
# is where a task gets closed, and this file's ANCHOR column must be updated to
# match whenever that happens. `zig build check-catalog` enforces this (see
# `checkAnchors` in build.zig) — for any module listed in both files, CLASS and
# ANCHOR must agree, or the build fails naming the module and which column
# drifted. This file used to be allowed to silently lag ANCHOR-TASKS.tsv as a
# "dated snapshot"; that is what let the bookkeeping go stale three times
# (backlog 1B), so the allowance was removed rather than documented further.
#
# ⚠ AGREEING WITH ANCHOR-TASKS.tsv IS NOT THE SAME AS BEING RIGHT. Those two
# checks compare a column against a duplicate of itself, so they are green
# whenever both copies are wrong the same way — and on 2026-08-14 thirty rows
# were exactly that: `SELF` in both files while ANCHOR-TASKS.tsv's own NOTE
# cited the commit that anchored them. All thirty were re-graded from the
# modules' TESTS and all thirty moved to MIXED. `checkAnchors` now also refuses
# SOURCE=DONE beside ANCHOR=SELF and SOURCE=NONE beside ANCHOR=EXTERNAL, which
# are contradictions between two INDEPENDENT facts rather than between copies.
# A grade in this file is still only worth the test file its EVIDENCE names.
#
# CLASS: does this module have an external truth at all?
#   A  wire / interop format — other implementations must byte-agree with it
#   B  published cryptographic or algorithmic construction with published vectors
#   C  internal algorithm or data structure — NO outside exists; correctness is
#      defined by invariants or a brute-force reference. NOT anchor debt.
#   D  our own design — no third party exists to agree with, by construction
#
# ANCHOR (class A and B only): where does the test oracle's authority come from?
#   EXTERNAL   published vectors, goldens captured from a foreign implementation,
#              or a test run against a live foreign peer
#   REDERIVED  an in-house oracle re-deriving the answer by a different route.
#              Catches implementation typos; does NOT catch a shared misreading
#              of the spec. A middle tier — never record it as EXTERNAL.
#   MIXED      anchored for some paths, SELF for others; EVIDENCE names which
#   SELF       round-trip and/or hand-authored fixtures only — the weakest
#
# Five things that look like an anchor and are not (each caught real cases here):
#   1. a sibling module's anchor does not transfer
#   2. reading a foreign implementation's source is not running it
#   3. a live test that skips on this host is not an anchor today
#   4. anchored primitives do not anchor the protocol framing above them
#   5. a prose claim of parity in a README is not an anchor unless the tests
#      actually contain captured bytes or a live check
#
# module	CLASS	ANCHOR	EVIDENCE
uci	A	MIXED	src/root.zig:1110+ asserts against verbatim `uci export` / `uci show` stdout captured from a real uci binary, which is what surfaced two symmetric escape bugs a round trip could not see; the rest of the parse/serialise surface is hand-authored
upstream	C	n/a	in-process LB/health-check library, no wire format of its own
validate	A	MIXED	src/json_schema_format_test.zig runs the official json-schema-org/JSON-Schema-Test-Suite optional/format files (src/testdata/json-schema-test-suite, 12 formats), which is where the isDuration bug was found; the whole 2020-12 CORE vocabulary in root.zig -- type/properties/items/required and the request-body integration -- is still graded only by this module's own tests
vdf	B	REDERIVED	eval KAT vs independent Python pow() oracle over real RSA-2048 challenge N
voprf	B	EXTERNAL	RFC 9497 own published test vectors, byte-exact
webauthn	A	EXTERNAL	W3C sec.16 vectors, cross-checked vs go-webauthn's re-hosting of same vectors
webhooksig	A	MIXED	src/root.zig:456 asserts GitHub's own published canonical webhook-signature triple (payload, secret, sha256=757107ea0eb2...), which anchors the FRAMING; root.zig:434 records that RFC 4231 was REFUTED as this module's anchor because it exercises std.crypto's HMAC rather than anything here. Timing-safe compare and header parsing stay self
websocket	A	EXTERNAL	RFC 6455 sec.1.3/sec.5.7 worked-example bytes, byte-exact parse AND write
whois	A	MIXED	src/goldens.zig carries real port-43 replies captured live from IANA and Verisign, including a real referral cycle; root.zig's own canned replies say in their comment that they are only `modeled on the real line conventions`, so the transport and the remaining parse paths stay self
wireguard	A	MIXED	KDF vs real wireguard-go vectors(EXTERNAL); handshake KAT REDERIVED(Python); netlink codec SELF, root kernel test skips
workerpool	C	n/a	internal thread pool over own lockfree MS-queue + EBR, no wire
writebehind	C	n/a	pure composition of internal cache/queue/pool modules, no wire
x509	A	EXTERNAL	chains generated by real OpenSSL 3.5, cross-checked with openssl verify
xdp-classifier	A	MIXED	classifier bytecode clang-cross-checked(EXTERNAL); CAP_BPF kernel-load test skips unprivileged
xml	A	MIXED	src/xmlconf_test.zig runs 130 cases of the W3C XML Conformance Test Suite (src/testdata/xmlconf) through parse; the slice is LICENCE-FILTERED (xmltest excluded on licence grounds, so the suite's largest section is absent) and src/xmlconf_test.zig carries a known_disagreements list -- paths outside the vendored slice remain self-graded
xmldsig	A	MIXED	C14N spec worked examples byte-exact; signature verify = constructed self-signed round-trip
xmlenc	A	MIXED	primitives anchored (NIST/RFC3394/rsa sibling); XML-Enc framing itself is constructed round-trip only
xmss	B	MIXED	core hashes/WOTS+/sig vs real XMSS reference(EXTERNAL); h=2 stateful walk is round-trip only
yaml	A	EXTERNAL	yaml-test-suite EXTERNAL 402/402 events + 279/279 json; int/float resolution also test-suite covered (VERIFIED 2026-08-01)
zipstream	A	MIXED	writer bytes cross-checked live via std.zip.Iterator; real unzip/zipinfo check was ad hoc, not standing
